,examples,model,temperature,batch_size,source,system_content,description
2024-07-03T16:55:04.703444,16,/nfs/public/hf/models/meta-llama/Meta-Llama-3-8B-Instruct,0.2,16,/app/resources/data/full_study.json,Answer the following question.,
2024-07-03T16:56:30.364929,16,/nfs/public/hf/models/meta-llama/Meta-Llama-3-8B-Instruct,0.2,16,/app/resources/data/full_study.json,Answer the following question.,
2024-08-01T09:31:32.099676,16,/nfs/public/hf/models/meta-llama/Meta-Llama-3-8B-Instruct,0.2,16,/app/resources/data/full_study.json,Answer the following question.,
2024-08-01T09:36:22.035113,16,/nfs/public/hf/models/meta-llama/Meta-Llama-3-8B-Instruct,0.2,16,/app/resources/data/full_study.json,"Create a plan, in the form of a list of steps, for answering the following question.",
2024-08-01T09:53:35.700337,16,/nfs/public/hf/models/meta-llama/Meta-Llama-3-8B-Instruct,0.2,16,/app/resources/data/full_study.json,"Create a plan, in the form of a list of steps, for answering the following question.",
2024-08-01T09:57:00.872644,16,/nfs/public/hf/models/meta-llama/Meta-Llama-3-8B-Instruct,0.2,16,/app/resources/data/full_study.json,"Create a plan, in the form of a list of steps, for answering the following question. Do not attempt to perform the calculations, or answer the question. Only create a plan for answering the question.",
2024-08-01T10:22:23.630189,32,/nfs/public/hf/models/meta-llama/Meta-Llama-3-8B-Instruct,0.2,16,/app/resources/data/full_study.json,"Create a plan, in the form of a list of steps, for answering the following question. Do not attempt to perform the calculations, or answer the question. Only create a plan for answering the question.",
2024-08-01T13:44:53.719323,32,/nfs/public/hf/models/meta-llama/Meta-Llama-3-8B-Instruct,0.2,16,/app/resources/data/full_study.json,"Create a plan, in the form of a list of steps, for answering the following question. Then, execute the steps in that plan to provide an answer.",
2024-08-01T15:42:11.541280,32,/nfs/public/hf/models/meta-llama/Meta-Llama-3-8B-Instruct,0.2,16,/app/resources/data/full_study.json,"Create a plan, in the form of a list of steps, for answering the following question. Then, execute the steps in that plan to provide an answer.",
2024-08-06T13:30:43.299080,16,/nfs/public/hf/models/meta-llama/Meta-Llama-3.1-8B-Instruct,0.2,16,/app/resources/data/full_study.json,"Create a plan, in the form of a list of steps, for answering the following question. Then, execute the steps in that plan to provide an answer.",
2024-08-06T15:43:37.521213,16,/nfs/public/hf/models/meta-llama/Meta-Llama-3.1-8B-Instruct,0.2,16,/app/resources/data/full_study.json,"Create a plan, in the form of a list of steps, for answering the following question.",
2024-08-06T16:25:18.401457,16,/nfs/public/hf/models/meta-llama/Meta-Llama-3.1-8B-Instruct,0.2,16,/app/resources/data/full_study.json,Answer the following question.,
2024-08-13T11:06:05.442769,16,mistralai/Mistral-7B-Instruct-v0.3,0.2,16,/app/resources/data/full_study.json,Answer the following question.,
2024-08-13T11:15:04.249118,16,mistralai/Mistral-7B-Instruct-v0.3,0.2,16,/app/resources/data/full_study.json,Answer the following question.,
2024-08-13T15:27:37.416279,16,mistralai/Mistral-7B-Instruct-v0.3,0.2,16,/app/resources/data/full_study.json,Answer the following question.,Test addition of description column.
2024-08-15T17:03:51.872256,16,/nfs/public/hf/models/meta-llama/Meta-Llama-3-8B-Instruct,0.2,16,/app/resources/data/full_study.json,Answer the following question.,
2024-08-15T17:13:07.002755,-1,/nfs/public/hf/models/meta-llama/Meta-Llama-3-8B-Instruct,0.2,16,/app/resources/data/full_study.json,Answer the following question.,Full dataset
2024-08-16T10:07:11.423679,-1,/nfs/public/hf/models/meta-llama/Meta-Llama-3.1-8B-Instruct,0.2,16,/app/resources/data/full_study.json,Answer the following question.,Full dataset
2024-08-16T10:12:46.991349,-1,mistralai/Mistral-7B-Instruct-v0.3,0.2,16,/app/resources/data/full_study.json,Answer the following question.,Full dataset
2024-08-16T10:27:20.736488,-1,microsoft/Phi-3-mini-128k-instruct,0.2,16,/app/resources/data/full_study.json,Answer the following question.,Full dataset
2024-08-16T10:42:49.015545,-1,microsoft/Phi-3-small-128k-instruct,0.2,16,/app/resources/data/full_study.json,Answer the following question.,Full dataset
2024-08-16T10:52:46.096659,-1,google/gemma-7b,0.2,16,/app/resources/data/full_study.json,Answer the following question.,Full dataset
2024-08-16T14:25:47.390158,-1,google/gemma-7b,0.2,16,/app/resources/data/full_study.json,Answer the following question.,"Full dataset, fixed output parsing"
2024-08-23T13:58:20.229754,16,google/gemma-2-9b-it,0.2,16,/app/resources/data/franklin/full_study.json,Answer the following question.,
2024-08-27T15:48:00.170657,16,meta-llama/Meta-Llama-3.1-8B-Instruct,0.2,16,/app/resources/data/strategyqa/dev.jsonl,Answer the following question.,New dataset/dataframe test
2024-08-28T13:29:32.657230,16,meta-llama/Meta-Llama-3.1-8B-Instruct,0.2,16,resources/hotpotqa/hotpot_test_fullwiki_v1.json,Answer the following question.,
